ringnr;recapture;capture_method;Sex;Age;age_nestling;day;month;year;time_hour;time_min;time_ringing;location;broodID;xCoord;yCoord;Wing;method_wing;P1;P8;Tarsus;tail;weight;Fat;Muscle;Bill_length;Bill_width;Bill_height;ringer;ring_owner;owner;salivary_swap;sex_genetics
N   630783;recapture;whoosh net;;4;NA;8;4;2021;9;50;;Tiefenbach;;678403;160664;117;;NA;89;21.8;NA;35;1;2;10.8;7.1;7.2;CN;SD;SOI;no;F
N   630783;recapture;nestbox;;1;7;7;6;2020;13;4;;Furkapass;Furka29_20;675318;158816;NA;;NA;NA;NA;NA;16.9;NA;NA;NA;NA;NA;;;SOI;;F
N   630783;recapture;nestbox;;1;12;12;6;2020;14;18;;Furkapass;Furka29_20;675318;158816;NA;;NA;NA;NA;NA;19.7;NA;NA;NA;NA;NA;;;SOI;;F
N   630783;recapture;nestbox;;1;15;15;6;2020;9;45;;Furkapass;Furka29_20;675318;158816;NA;;NA;NA;NA;NA;28.9;NA;NA;NA;NA;NA;SD;SD;SOI;yes;F
N   630783;recapture;nestbox;;1;5;5;6;2020;16;55;;Furkapass;Furka29_20;675318;158816;NA;;NA;NA;NA;NA;10.3;NA;NA;NA;NA;NA;;;SOI;;F
N   630784;recapture;nestbox;;1;12;12;6;2020;14;25;;Furkapass;Furka29_20;675318;158816;NA;;NA;NA;NA;NA;28;NA;NA;NA;NA;NA;;;SOI;;M
N   630784;recapture;nestbox;;1;7;7;6;2020;13;8;;Furkapass;Furka29_20;675318;158816;NA;;NA;NA;NA;NA;20;NA;NA;NA;NA;NA;;;SOI;;M
N   630784;first capture;nestbox;;1;2;2;6;2020;13;59;;Furkapass;Furka29_20;675318;158816;NA;;NA;NA;NA;NA;5.4;NA;NA;NA;NA;NA;;;SOI;;M
N   630784;recapture;nestbox;;1;15;15;6;2020;9;40;;Furkapass;Furka29_20;675318;158816;NA;;NA;NA;NA;NA;33.5;NA;NA;NA;NA;NA;SD;SD;SOI;yes;M
N   630784;recapture;nestbox;;1;5;5;6;2020;16;50;;Furkapass;Furka29_20;675318;158816;NA;;NA;NA;NA;NA;12.8;NA;NA;NA;NA;NA;;;SOI;;M
N   630785;recapture;nestbox;;1;5;2;6;2020;13;30;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;NA;NA;15;NA;NA;NA;NA;NA;;;SOI;;M
N   630785;recapture;nestbox;;1;18;15;6;2020;9;12;;Furkapass;Furka13_20;675296;158822;82;;NA;NA;NA;NA;38.5;NA;NA;NA;NA;NA;SD;;SOI;;M
N   630785;first capture;nestbox;;1;1;29;5;2020;11;40;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;NA;NA;3.6;NA;NA;NA;NA;NA;;;SOI;;M
N   630785;recapture;nestbox;;1;8;5;6;2020;16;14;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;NA;NA;24.9;NA;NA;NA;NA;NA;;;SOI;;M
N   630785;recapture;nestbox;;1;11;8;6;2020;14;5;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;21.5;NA;28.9;NA;NA;NA;NA;NA;CSch;SD;SOI;yes;M
N   630785;recapture;nestbox;;1;15;12;6;2020;15;2;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;NA;NA;35.1;NA;NA;NA;NA;NA;CSch;;SOI;;M
N   630786;recapture;nestbox;;1;11;8;6;2020;14;0;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;23.5;NA;32.4;NA;NA;NA;NA;NA;CSch;SD;SOI;yes;F
N   630786;recapture;nestbox;;1;18;15;6;2020;9;8;;Furkapass;Furka13_20;675296;158822;84;;NA;NA;NA;NA;37.1;NA;NA;NA;NA;NA;SD;;SOI;;F
N   630786;recapture;nestbox;;1;5;2;6;2020;13;34;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;NA;NA;17.1;NA;NA;NA;NA;NA;;;SOI;;F
N   630786;recapture;nestbox;;1;8;5;6;2020;16;28;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;NA;NA;24.7;NA;NA;NA;NA;NA;;;SOI;;F
N   630786;recapture;nestbox;;1;15;12;6;2020;14;57;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;NA;NA;35.2;NA;NA;NA;NA;NA;CSch;;SOI;;F
N   630787;recapture;nestbox;;1;15;12;6;2020;15;5;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;NA;NA;29;NA;NA;NA;NA;NA;CSch;;SOI;;F
N   630787;recapture;nestbox;;1;8;5;6;2020;16;24;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;NA;NA;21;NA;NA;NA;NA;NA;;;SOI;;F
N   630787;recapture;nestbox;;1;11;8;6;2020;13;56;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;21.5;NA;24.8;NA;NA;NA;NA;NA;CSch;SD;SOI;yes;F
N   630787;recapture;nestbox;;1;5;2;6;2020;13;43;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;NA;NA;16;NA;NA;NA;NA;NA;;;SOI;;F
N   630787;recapture;nestbox;;1;18;15;6;2020;9;15;;Furkapass;Furka13_20;675296;158822;79;;NA;NA;NA;NA;32.5;NA;NA;NA;NA;NA;SD;;SOI;;F
N   630789;first capture;nestbox;;1;1;29;5;2020;11;30;;Furkapass;Furka13_20;675296;158822;NA;;NA;NA;NA;NA;3.7;NA;NA;NA;NA;NA;;;SOI;;F
